primary_mass_msun,secondary_mass_msun,total_mass_msun,chi1,chi2,acceleration_s_inv,psd,f_low_hz,f_isco_hz,stage,method,fsd_order,mismatch
50.625,25.3125,75.9375,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,57.9030101800076,full,FSD,2,9.033396253244064e-11
50.625,25.3125,75.9375,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,57.9030101800076,inspiral,FSD,3,9.546263779469655e-11
50.625,25.3125,75.9375,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,57.9030101800076,merger-ringdown,FSD,3,2.470801341303286e-12
50.625,25.3125,75.9375,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,57.9030101800076,full,FSD,3,9.044065496510711e-11
50.625,25.3125,75.9375,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,57.9030101800076,inspiral,SPA+PN,,1.900546275912518e-09
50.625,25.3125,75.9375,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,57.9030101800076,merger-ringdown,SPA+PN,,2.5085489241405412e-12
50.625,25.3125,75.9375,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,57.9030101800076,full,SPA+PN,,1.8851360472638135e-09
60.5,30.25,90.75,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,48.451899014262565,inspiral,FSD,1,1.045736830462829e-10
60.5,30.25,90.75,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,48.451899014262565,merger-ringdown,FSD,1,3.8746783559417963e-14
60.5,30.25,90.75,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,48.451899014262565,full,FSD,1,8.70239436068232e-11
60.5,30.25,90.75,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,48.451899014262565,inspiral,FSD,2,5.484712684022952e-11
60.5,30.25,90.75,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,48.451899014262565,merger-ringdown,FSD,2,3.8746783559417963e-14
60.5,30.25,90.75,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,48.451899014262565,full,FSD,2,4.873434988894587e-11
60.5,30.25,90.75,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,48.451899014262565,inspiral,FSD,3,5.4871551746771274e-11
60.5,30.25,90.75,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,48.451899014262565,merger-ringdown,FSD,3,3.8746783559417963e-14
60.5,30.25,90.75,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,48.451899014262565,full,FSD,3,4.8753001635759574e-11
60.5,30.25,90.75,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,48.451899014262565,inspiral,SPA+PN,,1.002588456699982e-09
60.5,30.25,90.75,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,48.451899014262565,merger-ringdown,SPA+PN,,8.748557434046234e-14
