primary_mass_msun,secondary_mass_msun,total_mass_msun,chi1,chi2,acceleration_s_inv,psd,f_low_hz,f_isco_hz,stage,method,fsd_order,mismatch
80.25,40.125,120.375,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,36.52759987991134,merger-ringdown,SPA+PN,,1.2732481735611145e-11
80.25,40.125,120.375,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,36.52759987991134,full,SPA+PN,,1.5760015514842962e-10
90.125,45.0625,135.1875,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,32.52526924119706,inspiral,FSD,1,3.5688119126575657e-12
90.125,45.0625,135.1875,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,32.52526924119706,merger-ringdown,FSD,1,2.1221913115709867e-12
90.125,45.0625,135.1875,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,32.52526924119706,full,FSD,1,2.776778806889979e-12
90.125,45.0625,135.1875,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,32.52526924119706,inspiral,SPA+PN,,1.2728484932722495e-10
90.125,45.0625,135.1875,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,32.52526924119706,merger-ringdown,SPA+PN,,1.09907638545792e-11
90.125,45.0625,135.1875,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,32.52526924119706,full,SPA+PN,,9.556699875901131e-11
100.0,50.0,150.0,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,29.313398903628848,inspiral,FSD,1,9.660050537263487e-13
100.0,50.0,150.0,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,29.313398903628848,merger-ringdown,FSD,1,1.2178036357113342e-12
100.0,50.0,150.0,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,29.313398903628848,full,FSD,1,1.4052092822680606e-12
100.0,50.0,150.0,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,29.313398903628848,inspiral,SPA+PN,,6.84772238912501e-11
100.0,50.0,150.0,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,29.313398903628848,merger-ringdown,SPA+PN,,1.0846212816773004e-11
100.0,50.0,150.0,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,29.313398903628848,full,SPA+PN,,6.087785830999337e-11
21.0,10.5,31.5,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,139.58761382680404,inspiral,FSD,1,4.349545096316021e-07
21.0,10.5,31.5,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,139.58761382680404,merger-ringdown,FSD,1,1.0706768804880085e-11
21.0,10.5,31.5,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,139.58761382680404,full,FSD,1,3.6220548760290683e-07
21.0,10.5,31.5,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,139.58761382680404,inspiral,SPA+PN,,3.866905939897691e-08
21.0,10.5,31.5,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,139.58761382680404,merger-ringdown,SPA+PN,,2.114042274570238e-11
21.0,10.5,31.5,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,139.58761382680404,full,SPA+PN,,3.587729924259264e-08
30.875,15.4375,46.3125,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,94.94218268381813,inspiral,FSD,1,5.539344316574102e-09
30.875,15.4375,46.3125,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,94.94218268381813,merger-ringdown,FSD,1,4.246492046888761e-12
30.875,15.4375,46.3125,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,94.94218268381813,full,FSD,1,4.311041634785795e-09
30.875,15.4375,46.3125,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,94.94218268381813,inspiral,SPA+PN,,1.0252877213901002e-08
30.875,15.4375,46.3125,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,94.94218268381813,merger-ringdown,SPA+PN,,2.6188384794068043e-11
30.875,15.4375,46.3125,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,94.94218268381813,full,SPA+PN,,9.92434745494819e-09
40.75,20.375,61.125,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,71.93472123589902,inspiral,FSD,1,8.91397289315421e-10
