primary_mass_msun,secondary_mass_msun,total_mass_msun,chi1,chi2,acceleration_s_inv,psd,f_low_hz,f_isco_hz,stage,method,fsd_order,mismatch
80.25,40.125,120.375,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,36.52759987991134,merger-ringdown,SPA+PN,,3.063105324940807e-13
80.25,40.125,120.375,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,36.52759987991134,full,SPA+PN,,2.758732131624697e-10
90.125,45.0625,135.1875,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,32.52526924119706,inspiral,FSD,1,6.682765452126205e-12
90.125,45.0625,135.1875,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,32.52526924119706,merger-ringdown,FSD,1,4.348743587456738e-13
90.125,45.0625,135.1875,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,32.52526924119706,full,FSD,1,5.651035195342047e-12
90.125,45.0625,135.1875,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,32.52526924119706,inspiral,SPA+PN,,1.7515333627926566e-10
90.125,45.0625,135.1875,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,32.52526924119706,merger-ringdown,SPA+PN,,5.160316618457728e-13
90.125,45.0625,135.1875,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,32.52526924119706,full,SPA+PN,,1.6302459382444567e-10
100.0,50.0,150.0,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,29.313398903628848,inspiral,FSD,1,3.1187274984745272e-12
100.0,50.0,150.0,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,29.313398903628848,merger-ringdown,FSD,1,2.1649348980190553e-14
100.0,50.0,150.0,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,29.313398903628848,full,FSD,1,2.609690241683893e-12
100.0,50.0,150.0,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,29.313398903628848,inspiral,SPA+PN,,1.1026002333380802e-10
100.0,50.0,150.0,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,29.313398903628848,merger-ringdown,SPA+PN,,1.2534417948018017e-13
100.0,50.0,150.0,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,29.313398903628848,full,SPA+PN,,1.0283840445879378e-10
21.0,10.5,31.5,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,139.58761382680404,inspiral,FSD,1,2.5228577028690857e-05
21.0,10.5,31.5,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,139.58761382680404,merger-ringdown,FSD,1,6.52811138479592e-14
21.0,10.5,31.5,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,139.58761382680404,full,FSD,1,2.2133325216722177e-05
21.0,10.5,31.5,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,139.58761382680404,inspiral,SPA+PN,,1.0412220641242698e-07
21.0,10.5,31.5,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,139.58761382680404,merger-ringdown,SPA+PN,,1.6608936448392342e-13
21.0,10.5,31.5,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,139.58761382680404,full,SPA+PN,,1.1067392824415379e-07
30.875,15.4375,46.3125,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,94.94218268381813,inspiral,FSD,1,1.675063683315159e-07
30.875,15.4375,46.3125,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,94.94218268381813,merger-ringdown,FSD,1,1.1213252548714081e-14
30.875,15.4375,46.3125,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,94.94218268381813,full,FSD,1,1.3513982832780158e-07
30.875,15.4375,46.3125,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,94.94218268381813,inspiral,SPA+PN,,1.3961393485750762e-08
30.875,15.4375,46.3125,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,94.94218268381813,merger-ringdown,SPA+PN,,2.2026824808563106e-13
30.875,15.4375,46.3125,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,94.94218268381813,full,SPA+PN,,1.3545334187625713e-08
40.75,20.375,61.125,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,71.93472123589902,inspiral,FSD,1,4.978721768189587e-09
40.75,20.375,61.125,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,71.93472123589902,merger-ringdown,FSD,1,3.715916463420399e-13
40.75,20.375,61.125,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,71.93472123589902,full,FSD,1,3.873148912703073e-09
40.75,20.375,61.125,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,71.93472123589902,inspiral,SPA+PN,,3.858008024160142e-09
