primary_mass_msun,secondary_mass_msun,total_mass_msun,chi1,chi2,acceleration_s_inv,psd,f_low_hz,f_isco_hz,stage,method,fsd_order,mismatch
21.0,10.5,31.5,0.0,0.0,0.0001,EinsteinTelescopeP1600143,10.0,139.58761382680404,inspiral,FSD,1,0.09661342015785956
21.0,10.5,31.5,0.0,0.0,0.0001,EinsteinTelescopeP1600143,10.0,139.58761382680404,merger-ringdown,FSD,1,1.3471668225406574e-11
21.0,10.5,31.5,0.0,0.0,0.0001,EinsteinTelescopeP1600143,10.0,139.58761382680404,full,FSD,1,0.09543225232042607
21.0,10.5,31.5,0.0,0.0,0.0001,EinsteinTelescopeP1600143,10.0,139.58761382680404,inspiral,SPA+PN,,2.455070262119552e-05
21.0,10.5,31.5,0.0,0.0,0.0001,EinsteinTelescopeP1600143,10.0,139.58761382680404,merger-ringdown,SPA+PN,,1.446398556481654e-11
21.0,10.5,31.5,0.0,0.0,0.0001,EinsteinTelescopeP1600143,10.0,139.58761382680404,full,SPA+PN,,2.5944053298143643e-05
30.875,15.4375,46.3125,0.0,0.0,0.0001,EinsteinTelescopeP1600143,10.0,94.94218268381813,inspiral,FSD,1,0.0010328204414915554
30.875,15.4375,46.3125,0.0,0.0,0.0001,EinsteinTelescopeP1600143,10.0,94.94218268381813,merger-ringdown,FSD,1,4.646949491871055e-12
30.875,15.4375,46.3125,0.0,0.0,0.0001,EinsteinTelescopeP1600143,10.0,94.94218268381813,full,FSD,1,0.0008770283873053009
30.875,15.4375,46.3125,0.0,0.0,0.0001,EinsteinTelescopeP1600143,10.0,94.94218268381813,inspiral,SPA+PN,,1.6886852866049296e-06
30.875,15.4375,46.3125,0.0,0.0,0.0001,EinsteinTelescopeP1600143,10.0,94.94218268381813,merger-ringdown,SPA+PN,,6.41686703772848e-12
30.875,15.4375,46.3125,0.0,0.0,0.0001,EinsteinTelescopeP1600143,10.0,94.94218268381813,full,SPA+PN,,1.7994117532671439e-06
40.75,20.375,61.125,0.0,0.0,0.0001,EinsteinTelescopeP1600143,10.0,71.93472123589902,inspiral,FSD,1,2.5042927052187913e-05
40.75,20.375,61.125,0.0,0.0,0.0001,EinsteinTelescopeP1600143,10.0,71.93472123589902,merger-ringdown,FSD,1,2.6549873410885994e-12
40.75,20.375,61.125,0.0,0.0,0.0001,EinsteinTelescopeP1600143,10.0,71.93472123589902,full,FSD,1,1.963335384147502e-05
40.75,20.375,61.125,0.0,0.0,0.0001,EinsteinTelescopeP1600143,10.0,71.93472123589902,inspiral,SPA+PN,,4.050004405176111e-07
40.75,20.375,61.125,0.0,0.0,0.0001,EinsteinTelescopeP1600143,10.0,71.93472123589902,merger-ringdown,SPA+PN,,5.395350832770873e-12
40.75,20.375,61.125,0.0,0.0,0.0001,EinsteinTelescopeP1600143,10.0,71.93472123589902,full,SPA+PN,,4.244010740617199e-07
50.625,25.3125,75.9375,0.0,0.0,0.0001,EinsteinTelescopeP1600143,10.0,57.9030101800076,inspiral,FSD,1,1.2471928253487974e-06
50.625,25.3125,75.9375,0.0,0.0,0.0001,EinsteinTelescopeP1600143,10.0,57.9030101800076,merger-ringdown,FSD,1,1.4760415112391456e-12
50.625,25.3125,75.9375,0.0,0.0,0.0001,EinsteinTelescopeP1600143,10.0,57.9030101800076,full,FSD,1,9.244061678348459e-07
50.625,25.3125,75.9375,0.0,0.0,0.0001,EinsteinTelescopeP1600143,10.0,57.9030101800076,inspiral,SPA+PN,,1.5313569101671476e-07
50.625,25.3125,75.9375,0.0,0.0,0.0001,EinsteinTelescopeP1600143,10.0,57.9030101800076,merger-ringdown,SPA+PN,,5.28310728498127e-12
50.625,25.3125,75.9375,0.0,0.0,0.0001,EinsteinTelescopeP1600143,10.0,57.9030101800076,full,SPA+PN,,1.574800612136329e-07
